Author,Date
"Alexander Andreev-Andrievskiy, Anfisa Popova, Richard Boyle, Jeffrey Alberts, Boris Shenkman, Olga Vinogradova, Oleg Dolgov, Konstantin Anokhin, Darya Tsvirkun, Pavel Soldatov, Tatyana Nemirovskaya, Eugeniy Ilyin, Vladimir Sychev",2014 Aug 18
"Elizabeth A Blaber, Natalya Dvorochkin, Chialing Lee, Joshua S Alwood, Rukhsana Yousuf, Piero Pianetta, Ruth K Globus, Brendan P Burns, Eduardo A C Almeida",2013 Apr 18
"Nelson Adolfo López Garzón, María Virginia Pinzón-Fernández, Jhan S Saavedra T, Humberto A Nati-Castillo, Marlon Arias-Intriago, Camila Salazar-Santoliva, Juan S Izquierdo-Condoy",2025 Mar 27
"Takanobu Mashiko, Koji Kanayama, Natsumi Saito, Takako Shirado, Rintaro Asahi, Masanori Mori, Kotaro Yoshimura",2021 Mar 4
"Macarena Parra, Jimmy Jung, Travis D Boone, Luan Tran, Elizabeth A Blaber, Mark Brown, Matthew Chin, Tori Chinn, Jacob Cohen, Robert Doebler, Dzung Hoang, Elizabeth Hyde, Matthew Lera, Louie T Luzod, Mark Mallinson, Oana Marcu, Youssef Mohamedaly, Antonio J Ricco, Kathleen Rubins, Gregory D Sgarlato, Rafael O Talavera, Peter Tong, Eddie Uribe, Jeffrey Williams, Diana Wu, Rukhsana Yousuf, Charles S Richey, Julie Schonfeld, Eduardo A C Almeida",2017 Sep 6
"Akhilesh Kumar, Candice G T Tahimic, Eduardo A C Almeida, Ruth K Globus",2021 Aug 23
"Joshua S Alwood, Luan H Tran, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Akhilesh Kumar, Diane Hilton, Candice G T Tahimic, Ruth K Globus",2017 Oct 10
"Joshua S Alwood, April E Ronca, Richard C Mains, Mark J Shelhamer, Jeffrey D Smith, Thomas J Goodwin",2017 Jan 12
"Megan M Pendleton, Saghi Sadoughi, Alfred Li, Grace D O'Connell, Joshua S Alwood, Tony M Keaveny",2018 Oct 27
"Megan M Pendleton, Shannon R Emerzian, Jennifer Liu, Simon Y Tang, Grace D O’Connell, Joshua S Alwood, Tony M Keaveny",2019 Aug 21
"Catherine Moorwood, Anastassios Philippou, Janelle Spinazzola, Benjamin Keyser, Edward J Macarak, Elisabeth R Barton",2014 Jul 1
"Jianling Peng, Hilal Ilarslan, Eve Syrkin Wurtele, Diane C Bassham",2011 Jan 26
"Sang-Jin Kim, Diane C Bassham",2011 Apr 26
"Natalia Rzepecka, Yoko Ito, Kei Yura, Emi Ito, Tomohiro Uemura",2024 Mar 25
"Rahul Roy, Diane C Bassham",2017 Apr 11
"Rahul Roy, Diane C Bassham",2015 Nov 12
"Rahul Roy, Diane C Bassham",2017 Apr 11
"Martin P Kracklauer, Heather M Wiora, William J Deery, Xin Chen, Benjamin Bolival, Jr, Dwight Romanowicz, Rebecca A Simonette, Margaret T Fuller, Janice A Fischer, Kathleen M Beckingham",2010 Jul 20
"Katherine Taylor, Kurt Kleinhesselink, Michael D George, Rachel Morgan, Tangi Smallwood, Ann S Hammonds, Patrick M Fuller, Perot Saelao, Jeff Alley, Allen G Gibbs, Deborah K Hoshizaki, Laurence von Kalm, Charles A Fuller, Kathleen M Beckingham, Deborah A Kimbrell",2014 Jan 24
"Afshin Beheshti, Kaushik Chakravarty, Homer Fogle, Hossein Fazelinia, Willian A da Silveira, Valery Boyko, San-Huei Lai Polo, Amanda M Saravia-Butler, Gary Hardiman, Deanne Taylor, Jonathan M Galazka, Sylvain V Costes",2020 Jan 27
"Afshin Beheshti, J Tyson McDonald, Jack Miller, Peter Grabham, Sylvain V Costes",2019 Feb 3
"Daniel C Berrios, Afshin Beheshti, Sylvain V Costes",2018 Dec 5
"J Tyson McDonald, Robert Stainforth, Jack Miller, Thomas Cahill, Willian A da Silveira, Komal S Rathi, Gary Hardiman, Deanne Taylor, Sylvain V Costes, Vinita Chauhan, Robert Meller, Afshin Beheshti",2020 Feb 7
"Sherina Malkani, Christopher R Chin, Egle Cekanaviciute, Marie Mortreux, Hazeem Okinula, Marcel Tarbier, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Candice GT Tahimic, Deyra N Rodriguez, Brittany S Sexton, Daniel Butler, Akanksha Verma, Daniela Bezdan, Ceyda Durmaz, Matthew MacKay, Ari Melnick, Cem Meydan, Sheng Li, Francine Garrett-Bakelman, Bastian Fromm, Ebrahim Afshinnekoo, Brad W Langhorst, Eileen T Dimalanta, Margareth Cheng-Campbell, Elizabeth Blaber, Jonathan C Schisler, Charles Vanderburg, Marc R Friedländer, J Tyson McDonald, Sylvain V Costes, Seward Rutkove, Peter Grabham, Christopher E Mason, Afshin Beheshti",2020 Nov 25
"Pedro Madrigal, Nitin K Singh, Jason M Wood, Elena Gaudioso, Félix Hernández-del-Olmo, Christopher E Mason, Kasthuri Venkateswaran, Afshin Beheshti",2022 Aug 24
"Rosa Drago-Ferrante, Riccardo Di Fiore, Fathi Karouia, Yashwanth Subbannayya, Saswati Das, Begum Aydogan Mathyk, Shehbeel Arif, Ana Paula Guevara-Cerdán, Allen Seylani, Aman Singh Galsinh, Weronika Kukulska, Joseph Borg, Sherif Suleiman, David Marshall Porterfield, Andrea Camera, Lane K Christenson, April Elizabeth Ronca, Jonathan G Steller, Afshin Beheshti, Jean Calleja-Agius",2022 Jul 5
"Geraldine Vitry, Rebecca Finch, Gavin Mcstay, Afshin Behesti, Sébastien Déjean, Tricia Larose, Virginia Wotring, Willian Abraham da Silveira",2022 Sep 24
"Adrian Perdyan, Marcin Jąkalski, Monika Horbacz, Afshin Beheshti, Jakub Mieczkowski",2024 Jan 15
"S Anand Narayanan, David A Jamison, Jr, Joseph W Guarnieri, Victoria Zaksas, Michael Topper, Andrew P Koutnik, Jiwoon Park, Kevin B Clark, Francisco J Enguita, Ana Lúcia Leitão, Saswati Das, Pedro M Moraes-Vieira, Diego Galeano, Christopher E Mason, Nídia S Trovão, Robert E Schwartz, Jonathan C Schisler, Jordana G A Coelho-dos-Reis, Eve Syrkin Wurtele, Afshin Beheshti",2023 Nov 8
"Andrea Camera, Marshall Tabetah, Veronica Castañeda, JangKeun Kim, Aman Singh Galsinh, Alissen Haro-Vinueza, Ivonne Salinas, Allen Seylani, Shehbeel Arif, Saswati Das, Marcelo A Mori, Anthony Carano, Lorraine Christine de Oliveira, Masafumi Muratani, Richard Barker, Victoria Zaksas, Chirag Goel, Eleni Dimokidis, Deanne M Taylor, Jisu Jeong, Eliah Overbey, Cem Meydan, D Marshall Porterfield, Juan Esteban Díaz, Andrés Caicedo, Jonathan C Schisler, Evagelia C Laiakis, Christopher E Mason, Man S Kim, Fathi Karouia, Nathaniel J Szewczyk, Afshin Beheshti",2024 Jun 11
"J Tyson McDonald, JangKeun Kim, Lily Farmerie, Meghan L Johnson, Nidia S Trovao, Shehbeel Arif, Keith Siew, Sergey Tsoy, Yaron Bram, Jiwoon Park, Eliah Overbey, Krista Ryon, Jeffrey Haltom, Urminder Singh, Francisco J Enguita, Victoria Zaksas, Joseph W Guarnieri, Michael Topper, Douglas C Wallace, Cem Meydan, Stephen Baylin, Robert Meller, Masafumi Muratani, D Marshall Porterfield, Brett Kaufman, Marcelo A Mori, Stephen B Walsh, Dominique Sigaudo-Roussel, Saida Mebarek, Massimo Bottini, Christophe A Marquette, Eve Syrkin Wurtele, Robert E Schwartz, Diego Galeano, Christopher E Mason, Peter Grabham, Afshin Beheshti",2024 Jun 11
"Allen Seylani, Aman Singh Galsinh, Alexia Tasoula, Anu R I, Andrea Camera, Jean Calleja-Agius, Joseph Borg, Chirag Goel, JangKeun Kim, Kevin B Clark, Saswati Das, Shehbeel Arif, Michael Boerrigter, Caroline Coffey, Nathaniel Szewczyk, Christopher E Mason, Maria Manoli, Fathi Karouia, Hansjörg Schwertz, Afshin Beheshti, Dana Tulodziecki",2024 Jun 11
"Rachel Gilbert, Medaya Torres, Rachel Clemens, Shannon Hateley, Ravikumar Hosamani, William Wade, Sharmila Bhattacharya",2020 Feb 4
"Stanley Walls, Soda Diop, Ryan Birse, Lisa Elmen, Zhuohui Gan, Sreehari Kalvakuri, Santiago Pineda, Curran Reddy, Erika Taylor, Bosco Trinh, Georg Vogler, Rachel Zarndt, Andrew McCulloch, Peter Lee, Sharmila Bhattacharya, Rolf Bodmer, Karen Ocorr",2020 Nov 25
"Judith García-González, Kasper van Gelderen",2021 Dec 16
"J Alan Sparks, Taegun Kwon, Luciana Renna, Fuqi Liao, Federica Brandizzi, Elison B Blancaflor",2016 Mar 3
"Taegun Kwon, J Alan Sparks, Fuqi Liao, Elison B Blancaflor",2018 May 25
"Louise de Bang, Ana Paez-Garcia, Ashley E Cannon, Sabrina Chin, Jaydeep Kolape, Fuqi Liao, J Alan Sparks, Qingzhen Jiang, Elison B Blancaflor",2020 Feb 4
"William Krogman, J Alan Sparks, Elison B Blancaflor",2020 Sep 2
"Sabrina Chin, Taegun Kwon, Bibi Rafeiza Khan, J Alan Sparks, Eileen L Mallery, Daniel B Szymanski, Elison B Blancaflor",2021 Apr 20
"Yui Okamura, Kei Gochi, Tatsuya Ishikawa, Takuto Hayashi, Sayaka Fuseya, Riku Suzuki, Maho Kanai, Yuri Inoue, Yuka Murakami, Shunya Sadaki, Hyojung Jeon, Mio Hayama, Hiroto Ishii, Yuki Tsunakawa, Hiroki Ochi, Shingo Sato, Michito Hamada, Chikara Abe, Hironobu Morita, Risa Okada, Dai Shiba, Masafumi Muratani, Masahiro Shinohara, Taishin Akiyama, Takashi Kudo, Satoru Takahashi",2024 Nov 20
"Michael R Dorwart, Robin Wray, Chad A Brautigam, Youxing Jiang, Paul Blount",2010 Dec 7
"Li-Min Yang, Paul Blount",2011 Jan
"Irene Iscla, Robin Wray, Paul Blount",2011 Jul 7
"Li-Min Yang, Robin Wray, Juandell Parker, Danyell Wilson, Randolph S Duran, Paul Blount",2012 Jan 6
"Irene Iscla, Robin Wray, Paul Blount",2012 Jul 1
"Ian R Booth, Paul Blount",2012 Sep
"Li-Min Yang, Dalian Zhong, Paul Blount",2013 Feb 14
" Thomas C. Boothby, Jennifer R. Tenlen, Frank W. Smith, Jeremy R. Wang, Kiera A. Patanella, Erin Osborne Nishimura, Sophia C. Tintori, Qing Li, Corbin D. Jones, Mark Yandell, David N. Messina, Jarret Glasscock, and Bob Goldstein,",2016 Aug 22
"Thomas C Boothby, Bob Goldstein",2016 May 12
"Samuel Lim, Charles B Reilly, Zeina Barghouti, Benedetto Marelli, Jeffrey C Way, Pamela A Silver",2024 May 25
,2025 Feb 17
"Takahiro Bino, Yuhei Goto, Gembu Maryu, Kazuharu Arakawa, Kazuhiro Aoki",2024 Nov 19
"Ilaria Giovannini, Thomas C Boothby, Michele Cesari, Bob Goldstein, Roberto Guidetti, Lorena Rebecchi",2022 Feb 4
"Erika B Wagner, Nicholas P Granzella, Hiroaki Saito, Dava J Newman, Laurence R Young, Mary L Bouxsein",2010 Jun 3
"Rachel Ellman, Jordan Spatz, Alison Cloutier, Rupert Palme, Blaine A Christiansen, Mary L Bouxsein",2013 Apr
"M Sung, J Li, AJ Spieker, J Spatz, R Ellman, VL Ferguson, TA Bateman, GD Rosen, M Bouxsein, SB Rutkove",2013 Dec
"Afshin Beheshti, Kaushik Chakravarty, Homer Fogle, Hossein Fazelinia, Willian A da Silveira, Valery Boyko, San-Huei Lai Polo, Amanda M Saravia-Butler, Gary Hardiman, Deanne Taylor, Jonathan M Galazka, Sylvain V Costes",2019 Dec 16
"Frank C Ko, Miranda Van Vliet, Rachel Ellman, Daniel Grasso, Daniel J Brooks, Jordan M Spatz, Chrissy Conlon, J Ignacio Aguirre, Thomas J Wronski, Mary L Bouxsein",2017 Oct 9
"Jordan M Spatz, Frank C Ko, Ugur M Ayturk, Matthew L Warman, Mary L Bouxsein",2021 Oct 12
"Yared H Kidane, Franklin H Lee, Matthew F Smith, Chunbo Wang, Jacqueline Barbera Mirza, Saachi Sharma, Alejandro A Lobo, Krish C Dewan, Jengwei Chen, Thomas E Diaz, Michelle Mendiola Pla, Matthew W Foster, Dawn E Bowles",2024 Apr 18
"Nikolay Aseyev, Alia Kh Vinarskaya, Matvey Roshchin, Tatiana A Korshunova, Aleksey Yu Malyshev, Alena B Zuzina, Victor N Ierusalimsky, Maria S Lemak, Igor S Zakharov, Ivan A Novikov, Peter Kolosov, Ekaterina Chesnokova, Svetlana Volkova, Artem Kasianov, Leonid Uroshlev, Yekaterina Popova, Richard D Boyle, Pavel M Balaban",2017 Nov 1
"Richard Boyle, Reza Ehsanian, Alireza Mofrad, Yekaterina Popova, Joseph Varelas",2018 Mar 23
"Richard Boyle, Yekaterina Popova, Joseph Varelas",2018 Oct 22
"Federica Brandizzi, Charles Barlowe",2013 Jun
"Yani Chen, Federica Brandizzi",2013 Jul 21
"Yani Chen, Kyaw Aung, Jakub Rolčík, Kathryn Walicki, Jiří Friml, Federica Brandizzi",2013 Dec 3
"Federica Brandizzi, Lorenzo Frigerio, Stephen H Howell, Patrick Schäfer",2014 Sep 1
"Yingzhen Kong, Maria J Peña, Luciana Renna, Utku Avci, Sivakumar Pattathil, Sami T Tuomivaara, Xuemei Li, Wolf-Dieter Reiter, Federica Brandizzi, Michael G Hahn, Alan G Darvill, William S York, Malcolm A O’Neill",2015 Feb 11
"Cristina Ruberti, Sang-Jin Kim, Giovanni Stefano, Federica Brandizzi",2015 Jul 5
"David G Robinson, Federica Brandizzi, Chris Hawes, Akihiko Nakano",2015 Apr 16
"Sarathi M Weraduwage, Sang-Jin Kim, Luciana Renna, Fransisca C Anozie, Thomas D Sharkey, Federica Brandizzi",2016 Apr 4
"Robert M Larkin, Giovanni Stefano, Michael E Ruckle, Andrea K Stavoe, Christopher A Sinkler, Federica Brandizzi, Carolyn M Malmstrom, Katherine W Osteryoung",2016 Feb 9
"Evan Angelos, Cristina Ruberti, Sang-Jin Kim, Federica Brandizzi",2017 Mar 10
"Evan Angelos, Federica Brandizzi",2018 Oct 23
"Evan Angelos, Dae Kwan Ko, Starla Zemelis-Durfee, Federica Brandizzi",2021 Mar 10
"NJB Brereton, FE Pitre, E Gonzalez",2021 Apr 23
"Victor Missirian, Phillip A Conklin, Kevin M Culligan, Neil D Huefner, Anne B Britt",2016 Nov 21
"Neil D Huefner, Kaoru Yoshiyama, Joanna D Friesner, Phillip A Conklin, Anne B Britt",2014 May 20
"Christopher E Carr, Noelle C Bryan, Kendall N Saboda, Srinivasa A Bhattaru, Gary Ruvkun, Maria T Zuber",2018 Aug 7
"Irina V Ogneva, Sergey S Loktev, Vladimir N Sychev",2018 May 16
"Ryan W Baranowski, Jessica L Braun, Briana L Hockey, Jenalyn L Yumol, Mia S Geromella, Colton JF Watson, Nigel Kurgan, Holt N Messner, Kennedy C Whitley, Adam J MacNeil, Guillemette Gauquelin-Koch, Fabrice Bertile, William Gittings, Rene Vandenboom, Wendy E Ward, Val A Fajardo",2023 Jun 8
"Jessica L Braun, Val A Fajardo",2024 Jul 19
"Jonathan Baio, Aida F Martinez, Ivan Silva, Carla V Hoehn, Stephanie Countryman, Leonard Bailey, Nahidh Hasaniya, Michael J Pecaut, Mary Kearns-Jonker",2018 Jul 26
"Andrea L DiCarlo, Lisa S Carnell, Carmen I Rios, Pataje G Prasanna",2022 Jun 14
"Noelle C Bryan, Francois Lebreton, Michael Gilmore, Gary Ruvkun, Maria T Zuber, Christopher E Carr",2021 Jan 11
"M Teresa Ortega, Nanyan Lu, Stephen K Chapes",2012 Feb 27
"Tonia Von Ohlen, Alison Luce-Fedrow, M Teresa Ortega, Roman R Ganta, Stephen K Chapes",2012 Oct
"Rishi Drolia, Tonia Von Ohlen, Stephen K Chapes",2013 Jan 8
"Joshua A Jackman, Astghik Hakobyan, Rafayela Grigoryan, Roza Izmailyan, Charles C Elrod, Hovakim Zakaryan",2024 Apr 25
"Stephen K Chapes, M Teresa Ortega",2013 Jun 1
"Lea H Dib, M Teresa Ortega, Sherry D Fleming, Stephen K Chapes, Tonatiuh Melgarejo",2013 Oct 29
"Lea H Dib, M Teresa Ortega, Tonatiuh Melgarejo, Stephen K Chapes",2015 Jan 20
"Trisha A Rettig, Claire Ward, Michael J Pecaut, Stephen K Chapes",2017 Jul
"Trisha A Rettig, Claire Ward, Bailey A Bye, Michael J Pecaut, Stephen K Chapes",2018 Jan 10
"Claire Ward, Trisha A Rettig, Savannah Hlavacek, Bailey A Bye, Michael J Pecaut, Stephen K Chapes",2017 Dec 2
"Trisha A Rettig, Michael J Pecaut, Stephen K Chapes",2018 Aug 30
"Johannes Lengler, Markus Weiller, Franziska Horling, Josef Mayrhofer, Maria Schuster, Falko G Falkner, Irene Gil-Farina, Matthias Klugmann, Friedrich Scheiflinger, Werner Hoellriegl, Hanspeter Rottensteiner",2025 Jan 28
"Johannes Lengler, Markus Weiller, Franziska Horling, Josef Mayrhofer, Maria Schuster, Falko G Falkner, Irene Gil-Farina, Matthias Klugmann, Friedrich Scheiflinger, Werner Hoellriegl, Hanspeter Rottensteiner",2025 Jan 28
"Trisha A Rettig, John C Tan, Nina C Nishiyama, Stephen K Chapes, Michael J Pecaut",2021 Aug 25
"Xiaoman Hong, Anamika Ratri, Sungshin Y Choi, Joseph S Tash, April E Ronca, Joshua S Alwood, Lane K Christenson",2021 Mar 12
"Wooseong Kim, Farah K Tengra, Jasmine Shong, Nicholas Marchand, Hon Kit Chan, Zachary Young, Ravindra C Pangule, Macarena Parra, Jonathan S Dordick, Joel L Plawsky, Cynthia H Collins",2013 Nov 6
"Wooseong Kim, Farah K Tengra, Zachary Young, Jasmine Shong, Nicholas Marchand, Hon Kit Chan, Ravindra C Pangule, Macarena Parra, Jonathan S Dordick, Joel L Plawsky, Cynthia H Collins",2013 Apr 29
"Eliah G Overbey, Amanda M Saravia-Butler, Zhe Zhang, Komal S Rathi, Homer Fogle, Willian A da Silveira, Richard J Barker, Joseph J Bass, Afshin Beheshti, Daniel C Berrios, Elizabeth A Blaber, Egle Cekanaviciute, Helio A Costa, Laurence B Davin, Kathleen M Fisch, Samrawit G Gebre, Matthew Geniza, Rachel Gilbert, Simon Gilroy, Gary Hardiman, Raúl Herranz, Yared H Kidane, Colin PS Kruse, Michael D Lee, Ted Liefeld, Norman G Lewis, J Tyson McDonald, Robert Meller, Tejaswini Mishra, Imara Y Perera, Shayoni Ray, Sigrid S Reinsch, Sara Brin Rosenthal, Michael Strong, Nathaniel J Szewczyk, Candice GT Tahimic, Deanne M Taylor, Joshua P Vandenbrink, Alicia Villacampa, Silvio Weging, Chris Wolverton, Sarah E Wyatt, Luis Zea, Sylvain V Costes, Jonathan M Galazka",2021 Mar 26
"Daniel C Berrios, Jonathan Galazka, Kirill Grigorev, Samrawit Gebre, Sylvain V Costes",2020 Oct 20
"Willian A da Silveira, Hossein Fazelinia, Sara Brin Rosenthal, Evagelia C Laiakis, Man S Kim, Cem Meydan, Yared Kidane, Komal S Rathi, Scott M Smith, Benjamin Stear, Yue Ying, Yuanchao Zhang, Jonathan Foox, Susana Zanello, Brian Crucian, Dong Wang, Adrienne Nugent, Helio A Costa, Sara R Zwart, Sonja Schrepfer, R A Leo Elworth, Nicolae Sapoval, Todd Treangen, Matthew MacKay, Nandan S Gokhale, Stacy M Horner, Larry N Singh, Douglas C Wallace, Jeffrey S Willey, Jonathan C Schisler, Robert Meller, J Tyson McDonald, Kathleen M Fisch, Gary Hardiman, Deanne Taylor, Christopher E Mason, Sylvain V Costes, Afshin Beheshti",2020 Nov 25
"Lindsay Rutter, Richard Barker, Daniela Bezdan, Henry Cope, Sylvain V Costes, Lovorka Degoricija, Kathleen M Fisch, Mariano I Gabitto, Samrawit Gebre, Stefania Giacomello, Simon Gilroy, Stefan J Green, Christopher E Mason, Sigrid S Reinsch, Nathaniel J Szewczyk, Deanne M Taylor, Jonathan M Galazka, Raul Herranz, Masafumi Muratani",2020 Nov 25
"Charlotte A Nelson, Ana Uriarte Acuna, Amber M Paul, Ryan T Scott, Atul J Butte, Egle Cekanaviciute, Sergio E Baranzini, Sylvain V Costes",2021 Jan 12
"Eliah G Overbey, Amanda M Saravia-Butler, Zhe Zhang, Komal S Rathi, Homer Fogle, Willian A da Silveira, Richard J Barker, Joseph J Bass, Afshin Beheshti, Daniel C Berrios, Elizabeth A Blaber, Egle Cekanaviciute, Helio A Costa, Laurence B Davin, Kathleen M Fisch, Samrawit G Gebre, Matthew Geniza, Rachel Gilbert, Simon Gilroy, Gary Hardiman, Raúl Herranz, Yared H Kidane, Colin PS Kruse, Michael D Lee, Ted Liefeld, Norman G Lewis, J Tyson McDonald, Robert Meller, Tejaswini Mishra, Imara Y Perera, Shayoni Ray, Sigrid S Reinsch, Sara Brin Rosenthal, Michael Strong, Nathaniel J Szewczyk, Candice GT Tahimic, Deanne M Taylor, Joshua P Vandenbrink, Alicia Villacampa, Silvio Weging, Chris Wolverton, Sarah E Wyatt, Luis Zea, Sylvain V Costes, Jonathan M Galazka",2021 Mar 26
"Yuvarani Masarapu, Egle Cekanaviciute, Zaneta Andrusivova, Jakub O Westholm, Åsa Björklund, Robin Fallegger, Pau Badia-i-Mompel, Valery Boyko, Shubha Vasisht, Amanda Saravia-Butler, Samrawit Gebre, Enikő Lázár, Marta Graziano, Solène Frapard, Robert G Hinshaw, Olaf Bergmann, Deanne M Taylor, Douglas C Wallace, Christer Sylvén, Konstantinos Meletis, Julio Saez-Rodriguez, Jonathan M Galazka, Sylvain V Costes, Stefania Giacomello",2024 Jun 11
"Sylvain V Costes, Chelle L Gentemann, Steven H Platts, Lisa A Carnell",2024 Jun 11
"Lauren M Sanders, Kirill A Grigorev, Ryan T Scott, Amanda M Saravia-Butler, San-huei Lai Polo, Rachel Gilbert, Eliah G Overbey, JangKeun Kim, Christopher E Mason, Sylvain V Costes",2024 May 14
"Konstantinos I Adamopoulos, Lauren M Sanders, Sylvain V Costes",2024 Apr 26
"Lauren M Sanders, Danielle K Lopez, Alan E Wood, Ryan T Scott, Samrawit G Gebre, Amanda M Saravia-Butler, Sylvain V Costes",2024 Sep 16
"Gaurav Baranwal, Heidi A Creed, Walter E Cromer, Wei Wang, Bradley D Upchurch, Matt C Smithhart, Suman S Vadlamani, Mary-Catherine C Clark, Napoleon C Busbuso, Stephanie N Blais, Andrea J Reyna, Ranjeet M Dongaonkar, David C Zawieja, Joseph M Rutkowski",2021 Apr 9
"Nicholas Nastasi, Sarah R Haines, Ashleigh Bope, Marit E Meyer, John M Horack, Karen C Dannemiller",2024 May 24
"Nicholas Nastasi, Ashleigh Bope, Marit E Meyer, John M Horack, Karen C Dannemiller",2024 Sep 10
"Rhonda D Prisby, James M Dominguez, II, Judy Muller-Delp, Matthew R Allen, Michael D Delp",2012 Nov 20
